Feature,Importance,Rank,Seed,Cohort
Monocytes,5.833307902018229e-8,42,456,Test
Myeloid.like,5.1021575927734374e-8,43,456,Test
Exhausted.T.cells,4.784266153971354e-8,44,456,Test
blasts_bm,4.76837158203125e-8,45,456,Test
Apoptosis,3.846486409505208e-8,46,456,Test
HBEGF,3.3696492513020835e-8,47,456,Test
cDC.like,3.2742818196614584e-8,48,456,Test
SERPINE1,3.163019816080729e-8,49,456,Test
CCL3,3.0676523844401045e-8,50,456,Test
Mast cells resting,3.019968668619792e-8,51,456,Test
CXCL11,3.019968668619792e-8,52,456,Test
CSTB,2.988179524739583e-8,53,456,Test
GMP,2.8451283772786458e-8,54,456,Test
LTR.ERVK,2.7179718017578126e-8,55,456,Test
LINE.L1,2.6067097981770834e-8,56,456,Test
Cytolytic_score,2.5908152262369794e-8,57,456,Test
albumin,2.3523966471354167e-8,58,456,Test
MMP1,2.193450927734375e-8,59,456,Test
VEGFA,2.1457672119140624e-8,60,456,Test
TGFA,2.1298726399739584e-08,61,456,Test
LTR.ERV1,2.0186106363932292e-8,62,456,Test
IL4,1.923243204752604e-8,63,456,Test
RMSE,1.9073486328125e-8,64,456,Test
IL12A,1.7325083414713543e-8,65,456,Test
IL1B,1.6689300537109377e-8,66,456,Test
CCL2,1.6530354817708333e-8,67,456,Test
IL11,1.5576680501302085e-8,68,456,Test
IL1RN,1.5417734781901044e-8,69,456,Test
platelet,1.509984334309896e-8,70,456,Test
CXCL10,1.509984334309896e-8,71,456,Test
T cells CD8,1.4464060465494792e-8,72,456,Test
Eosinophils,1.430511474609375e-8,73,456,Test
Monocyte.like,1.3987223307291668e-8,74,456,Test
hematocrit,1.3192494710286458e-8,75,456,Test
TEK,1.3192494710286458e-8,76,456,Test
hemoglobin,1.2874603271484375e-8,77,456,Test
Neutrophils,1.2874603271484375e-8,78,456,Test
lymph_pct,1.2715657552083332e-8,79,456,Test
HGF,1.239776611328125e-8,80,456,Test
LTR.ERVL,1.2079874674479168e-8,81,456,Test
MMP9,1.1603037516276043e-8,82,456,Test
T cells follicular helper,1.1444091796875e-8,83,456,Test
Proliferation,1.128514607747396e-8,84,456,Test
IL13,1.0490417480468751e-8,85,456,Test
Promono.like,1.0013580322265626e-8,86,456,Test
sex_Female,9.854634602864583e-9,87,456,Test
CCL4,9.059906005859375e-9,88,456,Test
Cellular_senescence,8.900960286458332e-9,89,456,Test
LINE.L2,8.742014567057292e-9,90,456,Test
Macrophages M2,8.58306884765625e-9,91,456,Test
CFD,7.947285970052083e-9,92,456,Test
mono_pct,7.1525573730468756e-9,93,456,Test
Macrophages M1,7.152557373046875e-9,94,456,Test
SINE.Alu,6.993611653645833e-9,95,456,Test
Macrophages M0,6.67572021484375e-9,96,456,Test
CXCL1,6.1988830566406255e-9,97,456,Test
T.cell.senescence,5.880991617838542e-9,98,456,Test
TGFB1,5.880991617838542e-9,99,456,Test
ARG1,5.880991617838542e-9,100,456,Test
ldh,5.7220458984375e-9,101,456,Test
Cytotoxicity,5.7220458984375e-9,102,456,Test
IL6,5.086263020833333e-9,103,456,Test
eln_clean_Unknown,4.450480143229167e-9,104,456,Test
Mast cells activated,3.4968058268229166e-9,105,456,Test
SINE.MIR,3.178914388020833e-9,106,456,Test
eln_clean_Adverse,2.86102294921875e-9,107,456,Test
sex_Male,2.543131510416667e-9,108,456,Test
LTR.ERVL.MaLR,2.0662943522135416e-9,109,456,Test
LINE.CR1,1.5894571940104168e-9,110,456,Test
flt3_itd_ar,9.5367431640625e-10,111,456,Test
T cells CD4 naive,0,112,456,Test
T cells regulatory (Tregs),0,113,456,Test
T cells gamma delta,0,114,456,Test
NK cells activated,0,115,456,Test
Dendritic cells resting,0,116,456,Test
Dendritic cells activated,0,117,456,Test
CX3CL1,0,118,456,Test
IL2,0,119,456,Test
IL5,0,120,456,Test
FGF1,0,121,456,Test
MMP3,0,122,456,Test
CSF2,0,123,456,Test
IL25,0,124,456,Test
IFNA1,0,125,456,Test
sex_new,0,126,456,Test
sex_unknown,0,127,456,Test
prior_mds_FALSE.,0,128,456,Test
prior_mds_TRUE.,0,129,456,Test
prior_mds_new,0,130,456,Test
prior_mds_unknown,0,131,456,Test
prior_mpn_FALSE.,0,132,456,Test
prior_mpn_TRUE.,0,133,456,Test
prior_mpn_new,0,134,456,Test
prior_mpn_unknown,0,135,456,Test
secondary_aml_FALSE.,0,136,456,Test
secondary_aml_TRUE.,0,137,456,Test
secondary_aml_new,0,138,456,Test
secondary_aml_unknown,0,139,456,Test
flt3_itd_FALSE.,0,140,456,Test
flt3_itd_TRUE.,0,141,456,Test
flt3_itd_new,0,142,456,Test
flt3_itd_unknown,0,143,456,Test
npm1_new,0,144,456,Test
npm1_unknown,0,145,456,Test
runx1_FALSE.,0,146,456,Test
runx1_TRUE.,0,147,456,Test
runx1_new,0,148,456,Test
runx1_unknown,0,149,456,Test
asxl1_FALSE.,0,150,456,Test
asxl1_TRUE.,0,151,456,Test
asxl1_new,0,152,456,Test
asxl1_unknown,0,153,456,Test
tp53_FALSE.,0,154,456,Test
tp53_TRUE.,0,155,456,Test
tp53_new,0,156,456,Test
tp53_unknown,0,157,456,Test
DNMT3A_FALSE.,0,158,456,Test
DNMT3A_TRUE.,0,159,456,Test
DNMT3A_new,0,160,456,Test
DNMT3A_unknown,0,161,456,Test
IDH1_FALSE.,0,162,456,Test
IDH1_TRUE.,0,163,456,Test
IDH1_new,0,164,456,Test
IDH1_unknown,0,165,456,Test
IDH2_FALSE.,0,166,456,Test
IDH2_TRUE.,0,167,456,Test
IDH2_new,0,168,456,Test
IDH2_unknown,0,169,456,Test
KRAS_FALSE.,0,170,456,Test
KRAS_TRUE.,0,171,456,Test
KRAS_new,0,172,456,Test
KRAS_unknown,0,173,456,Test
NRAS_FALSE.,0,174,456,Test
NRAS_TRUE.,0,175,456,Test
NRAS_new,0,176,456,Test
NRAS_unknown,0,177,456,Test
PTPN11_FALSE.,0,178,456,Test
PTPN11_TRUE.,0,179,456,Test
PTPN11_new,0,180,456,Test
PTPN11_unknown,0,181,456,Test
spliceosome_FALSE.,0,182,456,Test
spliceosome_TRUE.,0,183,456,Test
spliceosome_new,0,184,456,Test
spliceosome_unknown,0,185,456,Test
cohesin_FALSE.,0,186,456,Test
cohesin_TRUE.,0,187,456,Test
cohesin_new,0,188,456,Test
cohesin_unknown,0,189,456,Test
ras_pathway_FALSE.,0,190,456,Test
ras_pathway_TRUE.,0,191,456,Test
ras_pathway_new,0,192,456,Test
ras_pathway_unknown,0,193,456,Test
cyto_t_8_21_FALSE.,0,194,456,Test
cyto_t_8_21_TRUE.,0,195,456,Test
cyto_t_8_21_new,0,196,456,Test
cyto_t_8_21_unknown,0,197,456,Test
cyto_inv16_FALSE.,0,198,456,Test
cyto_inv16_TRUE.,0,199,456,Test
cyto_inv16_new,0,200,456,Test
cyto_inv16_unknown,0,201,456,Test
cyto_cbf_FALSE.,0,202,456,Test
cyto_cbf_TRUE.,0,203,456,Test
cyto_cbf_new,0,204,456,Test
cyto_cbf_unknown,0,205,456,Test
cyto_t_15_17_FALSE.,0,206,456,Test
cyto_t_15_17_TRUE.,0,207,456,Test
cyto_t_15_17_new,0,208,456,Test
cyto_t_15_17_unknown,0,209,456,Test
cyto_inv3_FALSE.,0,210,456,Test
cyto_inv3_TRUE.,0,211,456,Test
cyto_inv3_new,0,212,456,Test
cyto_inv3_unknown,0,213,456,Test
cyto_t_6_9_FALSE.,0,214,456,Test
cyto_t_6_9_TRUE.,0,215,456,Test
cyto_t_6_9_new,0,216,456,Test
cyto_t_6_9_unknown,0,217,456,Test
cyto_5_7_abn_FALSE.,0,218,456,Test
cyto_5_7_abn_TRUE.,0,219,456,Test
cyto_5_7_abn_new,0,220,456,Test
cyto_5_7_abn_unknown,0,221,456,Test
cyto_plus8_FALSE.,0,222,456,Test
cyto_plus8_TRUE.,0,223,456,Test
cyto_plus8_new,0,224,456,Test
cyto_plus8_unknown,0,225,456,Test
cyto_normal_FALSE.,0,226,456,Test
cyto_normal_TRUE.,0,227,456,Test
cyto_normal_new,0,228,456,Test
cyto_normal_unknown,0,229,456,Test
eln_clean_Intermediate,0,230,456,Test
eln_clean_new,0,231,456,Test
eln_clean_unknown,0,232,456,Test
eln_clean_Favorable,4.0284792582194014e-6,1,789,Test
age_dx,1.6773541768391926e-6,2,789,Test
EGF,1.2903213500976562e-6,3,789,Test
IL10,1.0617574055989585e-6,4,789,Test
npm1_TRUE.,5.68389892578125e-7,5,789,Test
HSC.like,5.027453104654948e-7,6,789,Test
CXCR2,4.99566396077474e-7,7,789,Test
IL15,4.5220057169596356e-7,8,789,Test
CXCL9,4.418690999348958e-7,9,789,Test
IL33,3.5603841145833335e-7,10,789,Test
BSG,3.4697850545247397e-7,11,789,Test
wbc,3.223419189453125e-7,12,789,Test
CST3,2.5018056233723956e-7,13,789,Test
HSC.Prog,2.1584828694661458e-7,14,789,Test
T cells CD4 memory activated,2.051989237467448e-7,15,789,Test
Plasma cells,1.6562143961588541e-7,16,789,Test
T cells CD4 memory resting,1.3717015584309897e-7,17,789,Test
B cells memory,1.3367335001627604e-7,18,789,Test
CXCL12,1.2572606404622396e-7,19,789,Test
creatinine,1.1189778645833333e-7,20,789,Test
CXCL2,1.0665257771809896e-7,21,789,Test
SASP,1.0426839192708334e-7,22,789,Test
ELANE,1.0267893473307291e-7,23,789,Test
NK cells resting,1.0156631469726562e-7,24,789,Test
IFNB1,9.187062581380209e-8,25,789,Test
B cells naive,8.996327718098959e-8,26,789,Test
CCL5,8.551279703776042e-8,27,789,Test
Progenitor.like,8.424123128255208e-8,28,789,Test
CXCL5,8.408228556315105e-8,29,789,Test
npm1_FALSE.,7.89960225423177e-8,30,789,Test
FGF2,7.645289103190104e-8,31,789,Test
GMP.like,7.62939453125e-8,32,789,Test
CXCR1,7.581710815429688e-8,33,789,Test
Myeloid,7.327397664388021e-8,34,789,Test
MMP2,7.136662801106771e-8,35,789,Test
IL18,6.97771708170573e-8,36,789,Test
MHC2,6.945927937825521e-8,37,789,Test
blasts_pb,6.707509358723958e-8,38,789,Test
Myeloid.like,6.707509358723958e-8,39,789,Test
Exhausted.T.cells,6.278355916341147e-8,40,789,Test
IL1A,6.214777628580729e-8,41,789,Test
IFNG,6.039937337239584e-8,42,789,Test
Stroma,5.6266784667968754e-8,43,789,Test
Monocytes,5.5948893229166666e-8,44,789,Test
blasts_bm,5.2928924560546876e-8,45,789,Test
GMP,3.910064697265625e-8,46,789,Test
CXCL11,3.782908121744792e-8,47,789,Test
Apoptosis,3.703435262044271e-8,48,789,Test
SERPINE1,3.608067830403646e-8,49,789,Test
cDC.like,3.512700398763021e-8,50,789,Test
HBEGF,3.226598103841146e-8,51,789,Test
Cytolytic_score,3.0517578125e-8,52,789,Test
Mast cells resting,3.0358632405598957e-8,53,789,Test
LTR.ERVK,2.988179524739583e-8,54,789,Test
CCL3,2.8451283772786458e-8,55,789,Test
LINE.L1,2.765655517578125e-8,56,789,Test
albumin,2.7020772298177085e-8,57,789,Test
CSTB,2.6067097981770834e-8,58,789,Test
LTR.ERV1,2.47955322265625e-8,59,789,Test
VEGFA,2.2411346435546875e-8,60,789,Test
TGFA,2.209345499674479e-8,61,789,Test
MMP1,2.09808349609375e-8,62,789,Test
IL1B,1.986821492513021e-8,63,789,Test
Eosinophils,1.9391377766927085e-8,64,789,Test
RMSE,1.827875773111979e-8,65,789,Test
IL4,1.811981201171875e-8,66,789,Test
lymph_pct,1.796086629231771e-8,67,789,Test
IL12A,1.6848246256510417e-8,68,789,Test
LTR.ERVL,1.5576680501302085e-8,69,789,Test
CXCL10,1.5576680501302082e-8,70,789,Test
CCL2,1.5099843343098956e-8,71,789,Test
IL11,1.4940897623697916e-8,72,789,Test
IL1RN,1.4464060465494792e-8,73,789,Test
T cells CD8,1.430511474609375e-8,74,789,Test
TEK,1.3828277587890626e-8,75,789,Test
platelet,1.3510386149088543e-8,76,789,Test
hemoglobin,1.3510386149088541e-8,77,789,Test
Monocyte.like,1.2874603271484375e-8,78,789,Test
T cells follicular helper,1.239776611328125e-8,79,789,Test
sex_Female,1.2079874674479166e-8,80,789,Test
Neutrophils,1.1920928955078126e-8,81,789,Test
Proliferation,1.1444091796875e-8,82,789,Test
MMP9,1.0808308919270834e-8,83,789,Test
Promono.like,1.0172526041666666e-8,84,789,Test
mono_pct,1.0013580322265626e-8,85,789,Test
Macrophages M2,9.695688883463543e-9,86,789,Test
hematocrit,9.695688883463541e-9,87,789,Test
IL13,9.5367431640625e-9,88,789,Test
LINE.L2,9.377797444661458e-9,89,789,Test
T.cell.senescence,8.265177408854166e-9,90,789,Test
CCL4,8.265177408854166e-9,91,789,Test
Macrophages M1,8.106231689453126e-9,92,789,Test
Cellular_senescence,7.947285970052083e-9,93,789,Test
HGF,7.947285970052083e-9,94,789,Test
IL6,6.834665934244792e-9,95,789,Test
Macrophages M0,6.357828776041667e-9,96,789,Test
SINE.Alu,6.357828776041666e-9,97,789,Test
eln_clean_Unknown,6.198883056640625e-9,98,789,Test
Cytotoxicity,5.7220458984375e-9,99,789,Test
CFD,5.2452087402343755e-9,100,789,Test
CXCL1,5.086263020833333e-9,101,789,Test
ldh,4.76837158203125e-9,102,789,Test
TGFB1,4.76837158203125e-9,103,789,Test
ARG1,4.132588704427083e-9,104,789,Test
SINE.MIR,3.4968058268229166e-9,105,789,Test
eln_clean_Adverse,3.4968058268229166e-9,106,789,Test
LTR.ERVL.MaLR,3.019968668619792e-9,107,789,Test
Mast cells activated,2.86102294921875e-9,108,789,Test
LINE.CR1,2.384185791015625e-9,109,789,Test
sex_Male,2.0662943522135416e-9,110,789,Test
flt3_itd_ar,9.5367431640625e-10,111,789,Test
T cells CD4 naive,0,112,789,Test
T cells regulatory (Tregs),0,113,789,Test
T cells gamma delta,0,114,789,Test
NK cells activated,0,115,789,Test
Dendritic cells resting,0,116,789,Test
Dendritic cells activated,0,117,789,Test
CX3CL1,0,118,789,Test
IL2,0,119,789,Test
IL5,0,120,789,Test
FGF1,0,121,789,Test
MMP3,0,122,789,Test
CSF2,0,123,789,Test
IL25,0,124,789,Test
IFNA1,0,125,789,Test
sex_new,0,126,789,Test
sex_unknown,0,127,789,Test
prior_mds_FALSE.,0,128,789,Test
prior_mds_TRUE.,0,129,789,Test
prior_mds_new,0,130,789,Test
prior_mds_unknown,0,131,789,Test
prior_mpn_FALSE.,0,132,789,Test
prior_mpn_TRUE.,0,133,789,Test
prior_mpn_new,0,134,789,Test
prior_mpn_unknown,0,135,789,Test
secondary_aml_FALSE.,0,136,789,Test
secondary_aml_TRUE.,0,137,789,Test
secondary_aml_new,0,138,789,Test
secondary_aml_unknown,0,139,789,Test
flt3_itd_FALSE.,0,140,789,Test
flt3_itd_TRUE.,0,141,789,Test
flt3_itd_new,0,142,789,Test
flt3_itd_unknown,0,143,789,Test
npm1_new,0,144,789,Test
npm1_unknown,0,145,789,Test
runx1_FALSE.,0,146,789,Test
runx1_TRUE.,0,147,789,Test
runx1_new,0,148,789,Test
runx1_unknown,0,149,789,Test
asxl1_FALSE.,0,150,789,Test
asxl1_TRUE.,0,151,789,Test
asxl1_new,0,152,789,Test
asxl1_unknown,0,153,789,Test
tp53_FALSE.,0,154,789,Test
tp53_TRUE.,0,155,789,Test
tp53_new,0,156,789,Test
tp53_unknown,0,157,789,Test
DNMT3A_FALSE.,0,158,789,Test
DNMT3A_TRUE.,0,159,789,Test
DNMT3A_new,0,160,789,Test
DNMT3A_unknown,0,161,789,Test
IDH1_FALSE.,0,162,789,Test
IDH1_TRUE.,0,163,789,Test
IDH1_new,0,164,789,Test
IDH1_unknown,0,165,789,Test
IDH2_FALSE.,0,166,789,Test
IDH2_TRUE.,0,167,789,Test
IDH2_new,0,168,789,Test
IDH2_unknown,0,169,789,Test
KRAS_FALSE.,0,170,789,Test
KRAS_TRUE.,0,171,789,Test
KRAS_new,0,172,789,Test
KRAS_unknown,0,173,789,Test
NRAS_FALSE.,0,174,789,Test
NRAS_TRUE.,0,175,789,Test
NRAS_new,0,176,789,Test
NRAS_unknown,0,177,789,Test
PTPN11_FALSE.,0,178,789,Test
PTPN11_TRUE.,0,179,789,Test
PTPN11_new,0,180,789,Test
PTPN11_unknown,0,181,789,Test
spliceosome_FALSE.,0,182,789,Test
spliceosome_TRUE.,0,183,789,Test
spliceosome_new,0,184,789,Test
spliceosome_unknown,0,185,789,Test
cohesin_FALSE.,0,186,789,Test
cohesin_TRUE.,0,187,789,Test
cohesin_new,0,188,789,Test
cohesin_unknown,0,189,789,Test
ras_pathway_FALSE.,0,190,789,Test
ras_pathway_TRUE.,0,191,789,Test
ras_pathway_new,0,192,789,Test
ras_pathway_unknown,0,193,789,Test
cyto_t_8_21_FALSE.,0,194,789,Test
cyto_t_8_21_TRUE.,0,195,789,Test
cyto_t_8_21_new,0,196,789,Test
cyto_t_8_21_unknown,0,197,789,Test
cyto_inv16_FALSE.,0,198,789,Test
cyto_inv16_TRUE.,0,199,789,Test
cyto_inv16_new,0,200,789,Test
cyto_inv16_unknown,0,201,789,Test
cyto_cbf_FALSE.,0,202,789,Test
cyto_cbf_TRUE.,0,203,789,Test
cyto_cbf_new,0,204,789,Test
cyto_cbf_unknown,0,205,789,Test
cyto_t_15_17_FALSE.,0,206,789,Test
cyto_t_15_17_TRUE.,0,207,789,Test
cyto_t_15_17_new,0,208,789,Test
cyto_t_15_17_unknown,0,209,789,Test
cyto_inv3_FALSE.,0,210,789,Test
cyto_inv3_TRUE.,0,211,789,Test
cyto_inv3_new,0,212,789,Test
cyto_inv3_unknown,0,213,789,Test
cyto_t_6_9_FALSE.,0,214,789,Test
cyto_t_6_9_TRUE.,0,215,789,Test
cyto_t_6_9_new,0,216,789,Test
cyto_t_6_9_unknown,0,217,789,Test
cyto_5_7_abn_FALSE.,0,218,789,Test
cyto_5_7_abn_TRUE.,0,219,789,Test
cyto_5_7_abn_new,0,220,789,Test
cyto_5_7_abn_unknown,0,221,789,Test
cyto_plus8_FALSE.,0,222,789,Test
cyto_plus8_TRUE.,0,223,789,Test
cyto_plus8_new,0,224,789,Test
cyto_plus8_unknown,0,225,789,Test
cyto_normal_FALSE.,0,226,789,Test
cyto_normal_TRUE.,0,227,789,Test
cyto_normal_new,0,228,789,Test
cyto_normal_unknown,0,229,789,Test
eln_clean_Intermediate,0,230,789,Test
eln_clean_new,0,231,789,Test
eln_clean_unknown,0,232,789,Test
eln_clean_Favorable,4.245122273763021e-6,1,1011,Test
EGF,1.3782183329264323e-6,2,1011,Test
age_dx,1.3384819030761718e-6,3,1011,Test
IL10,1.0140736897786457e-6,4,1011,Test
npm1_TRUE.,5.757013956705729e-7,5,1011,Test
HSC.like,5.378723144531251e-7,6,1011,Test
CXCR2,5.343755086263021e-7,7,1011,Test
IL15,4.2359034220377603e-7,8,1011,Test
CXCL9,4.229545593261719e-7,9,1011,Test
BSG,3.457069396972656e-7,10,1011,Test
IL33,3.398259480794271e-7,11,1011,Test
wbc,2.918243408203125e-7,12,1011,Test
HSC.Prog,2.536773681640625e-7,13,1011,Test
CST3,2.1346410115559895e-7,14,1011,Test
T cells CD4 memory activated,1.9470850626627604e-7,15,1011,Test
Plasma cells,1.4321009318033855e-7,16,1011,Test
T cells CD4 memory resting,1.392364501953125e-7,17,1011,Test
CXCL2,1.3065338134765623e-7,18,1011,Test
CXCL12,1.2985865275065103e-7,19,1011,Test
B cells memory,1.2604395548502606e-7,20,1011,Test
creatinine,1.1746088663736979e-7,21,1011,Test
ELANE,1.1094411214192708e-7,22,1011,Test
SASP,1.0697046915690104e-7,23,1011,Test
blasts_bm,1.0474522908528646e-7,24,1011,Test
Progenitor.like,9.330113728841147e-8,25,1011,Test
B cells naive,9.187062581380209e-8,26,1011,Test
CCL5,8.7738037109375e-8,27,1011,Test
FGF2,8.726119995117187e-8,28,1011,Test
IFNB1,8.614857991536458e-8,29,1011,Test
NK cells resting,8.535385131835937e-8,30,1011,Test
MMP2,8.328755696614583e-8,31,1011,Test
CXCL5,7.883707682291667e-8,32,1011,Test
GMP.like,7.820129394531249e-8,33,1011,Test
npm1_FALSE.,7.692972819010416e-8,34,1011,Test
Stroma,7.613499959309896e-8,35,1011,Test
blasts_pb,7.422765096028646e-8,36,1011,Test
CXCR1,7.088979085286458e-8,37,1011,Test
Myeloid,7.009506225585937e-8,38,1011,Test
IL1A,6.993611653645833e-8,39,1011,Test
IL18,6.628036499023437e-8,40,1011,Test
Myeloid.like,6.580352783203126e-8,41,1011,Test
MHC2,6.246566772460938e-8,42,1011,Test
IFNG,6.103515625e-8,43,1011,Test
Monocytes,5.642573038736979e-8,44,1011,Test
Exhausted.T.cells,5.578994750976563e-8,45,1011,Test
GMP,3.496805826822917e-8,46,1011,Test
HBEGF,3.496805826822917e-8,47,1011,Test
CXCL11,3.4332275390625e-8,48,1011,Test
cDC.like,3.3696492513020835e-8,49,1011,Test
Apoptosis,3.178914388020833e-8,50,1011,Test
CSTB,3.0358632405598957e-8,51,1011,Test
SERPINE1,3.0040740966796875e-8,52,1011,Test
LINE.L1,2.7338663736979167e-8,53,1011,Test
LTR.ERVK,2.7338663736979167e-8,54,1011,Test
LTR.ERV1,2.7179718017578126e-8,55,1011,Test
Mast cells resting,2.686182657877604e-8,56,1011,Test
Cytolytic_score,2.6384989420572916e-8,57,1011,Test
CCL3,2.559026082356771e-8,58,1011,Test
albumin,2.5431315104166668e-8,59,1011,Test
IL1B,2.5272369384765628e-8,60,1011,Test
MMP1,2.1298726399739584e-08,61,1011,Test
VEGFA,1.986821492513021e-8,62,1011,Test
T cells CD8,1.923243204752604e-8,63,1011,Test
IL4,1.891454060872396e-8,64,1011,Test
RMSE,1.827875773111979e-8,65,1011,Test
IL1RN,1.7801920572916665e-8,66,1011,Test
TGFA,1.6848246256510417e-8,67,1011,Test
lymph_pct,1.5894571940104166e-8,68,1011,Test
CXCL10,1.5735626220703126e-8,69,1011,Test
LTR.ERVL,1.541773478190104e-8,70,1011,Test
Monocyte.like,1.509984334309896e-8,71,1011,Test
IL12A,1.4940897623697916e-8,72,1011,Test
Eosinophils,1.4781951904296877e-8,73,1011,Test
IL11,1.4623006184895834e-8,74,1011,Test
CCL2,1.4464060465494792e-8,75,1011,Test
platelet,1.2397766113281251e-8,76,1011,Test
hemoglobin,1.239776611328125e-8,77,1011,Test
Proliferation,1.1603037516276043e-8,78,1011,Test
Neutrophils,1.1603037516276043e-8,79,1011,Test
MMP9,1.1603037516276041e-8,80,1011,Test
HGF,1.1444091796875e-8,81,1011,Test
TEK,1.1444091796875e-8,82,1011,Test
sex_Female,1.0967254638671875e-8,83,1011,Test
hematocrit,1.0649363199869792e-8,84,1011,Test
IL13,1.0331471761067709e-8,85,1011,Test
T cells follicular helper,1.0331471761067707e-8,86,1011,Test
Cellular_senescence,1.0013580322265626e-8,87,1011,Test
LINE.L2,9.854634602864583e-9,88,1011,Test
Macrophages M2,9.37779744466146e-9,89,1011,Test
IL6,9.377797444661458e-9,90,1011,Test
ldh,8.106231689453126e-9,91,1011,Test
mono_pct,7.470448811848958e-9,92,1011,Test
Macrophages M1,7.311503092447917e-9,93,1011,Test
T.cell.senescence,6.993611653645833e-9,94,1011,Test
CCL4,6.993611653645833e-9,95,1011,Test
Promono.like,6.357828776041667e-9,96,1011,Test
CXCL1,6.357828776041667e-9,97,1011,Test
SINE.Alu,6.357828776041666e-9,98,1011,Test
Macrophages M0,6.039937337239583e-9,99,1011,Test
Cytotoxicity,4.927317301432292e-9,100,1011,Test
ARG1,4.2915344238281255e-9,101,1011,Test
eln_clean_Unknown,4.132588704427083e-9,102,1011,Test
Mast cells activated,3.814697265625e-9,103,1011,Test
TGFB1,3.814697265625e-9,104,1011,Test
CFD,3.814697265625e-9,105,1011,Test
eln_clean_Adverse,3.1789143880208335e-9,106,1011,Test
LTR.ERVL.MaLR,3.178914388020833e-9,107,1011,Test
LINE.CR1,2.86102294921875e-9,108,1011,Test
SINE.MIR,2.7020772298177085e-9,109,1011,Test
flt3_itd_ar,1.9073486328125e-9,110,1011,Test
sex_Male,1.9073486328125e-9,111,1011,Test
T cells CD4 naive,0,112,1011,Test
T cells regulatory (Tregs),0,113,1011,Test
T cells gamma delta,0,114,1011,Test
NK cells activated,0,115,1011,Test
Dendritic cells resting,0,116,1011,Test
Dendritic cells activated,0,117,1011,Test
CX3CL1,0,118,1011,Test
IL2,0,119,1011,Test
IL5,0,120,1011,Test
FGF1,0,121,1011,Test
MMP3,0,122,1011,Test
CSF2,0,123,1011,Test
IL25,0,124,1011,Test
IFNA1,0,125,1011,Test
sex_new,0,126,1011,Test
sex_unknown,0,127,1011,Test
prior_mds_FALSE.,0,128,1011,Test
prior_mds_TRUE.,0,129,1011,Test
prior_mds_new,0,130,1011,Test
prior_mds_unknown,0,131,1011,Test
prior_mpn_FALSE.,0,132,1011,Test
prior_mpn_TRUE.,0,133,1011,Test
prior_mpn_new,0,134,1011,Test
prior_mpn_unknown,0,135,1011,Test
secondary_aml_FALSE.,0,136,1011,Test
secondary_aml_TRUE.,0,137,1011,Test
secondary_aml_new,0,138,1011,Test
secondary_aml_unknown,0,139,1011,Test
flt3_itd_FALSE.,0,140,1011,Test
flt3_itd_TRUE.,0,141,1011,Test
flt3_itd_new,0,142,1011,Test
flt3_itd_unknown,0,143,1011,Test
npm1_new,0,144,1011,Test
npm1_unknown,0,145,1011,Test
runx1_FALSE.,0,146,1011,Test
runx1_TRUE.,0,147,1011,Test
runx1_new,0,148,1011,Test
runx1_unknown,0,149,1011,Test
asxl1_FALSE.,0,150,1011,Test
asxl1_TRUE.,0,151,1011,Test
asxl1_new,0,152,1011,Test
asxl1_unknown,0,153,1011,Test
tp53_FALSE.,0,154,1011,Test
tp53_TRUE.,0,155,1011,Test
tp53_new,0,156,1011,Test
tp53_unknown,0,157,1011,Test
DNMT3A_FALSE.,0,158,1011,Test
DNMT3A_TRUE.,0,159,1011,Test
DNMT3A_new,0,160,1011,Test
DNMT3A_unknown,0,161,1011,Test
IDH1_FALSE.,0,162,1011,Test
IDH1_TRUE.,0,163,1011,Test
IDH1_new,0,164,1011,Test
IDH1_unknown,0,165,1011,Test
IDH2_FALSE.,0,166,1011,Test
IDH2_TRUE.,0,167,1011,Test
IDH2_new,0,168,1011,Test
IDH2_unknown,0,169,1011,Test
KRAS_FALSE.,0,170,1011,Test
KRAS_TRUE.,0,171,1011,Test
KRAS_new,0,172,1011,Test
KRAS_unknown,0,173,1011,Test
NRAS_FALSE.,0,174,1011,Test
NRAS_TRUE.,0,175,1011,Test
NRAS_new,0,176,1011,Test
NRAS_unknown,0,177,1011,Test
PTPN11_FALSE.,0,178,1011,Test
PTPN11_TRUE.,0,179,1011,Test
PTPN11_new,0,180,1011,Test
PTPN11_unknown,0,181,1011,Test
spliceosome_FALSE.,0,182,1011,Test
spliceosome_TRUE.,0,183,1011,Test
spliceosome_new,0,184,1011,Test
spliceosome_unknown,0,185,1011,Test
cohesin_FALSE.,0,186,1011,Test
cohesin_TRUE.,0,187,1011,Test
cohesin_new,0,188,1011,Test
cohesin_unknown,0,189,1011,Test
ras_pathway_FALSE.,0,190,1011,Test
ras_pathway_TRUE.,0,191,1011,Test
ras_pathway_new,0,192,1011,Test
ras_pathway_unknown,0,193,1011,Test
cyto_t_8_21_FALSE.,0,194,1011,Test
cyto_t_8_21_TRUE.,0,195,1011,Test
cyto_t_8_21_new,0,196,1011,Test
cyto_t_8_21_unknown,0,197,1011,Test
cyto_inv16_FALSE.,0,198,1011,Test
cyto_inv16_TRUE.,0,199,1011,Test
cyto_inv16_new,0,200,1011,Test
cyto_inv16_unknown,0,201,1011,Test
cyto_cbf_FALSE.,0,202,1011,Test
cyto_cbf_TRUE.,0,203,1011,Test
