"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"BA3379R",0.0842392750961935,0,0.131332470983778,0.0233976452128033,0,0.225272962715045,0.00509733401580426,0,0.00350783991313178,0,0.0696274013251686,0,0.337019879603934,0,0,0.0573926377852062,0,0,0.0596875639264151,0,0.00342498942252043,0,0.002,0.407881119323367,0.912992572441737
"BA3124R",0.0510886399614943,0,0.00693981400386509,0.237558053585533,0.00388096071070333,0.40988774310831,0,0,0.0250610568163587,0,0.126564699269254,0,0.0656542843250293,0.00877878382947973,0,0,0,0,0,0.00805736932337275,0.00440483287658501,0.0521237621900151,0.001,0.560360008434671,0.828013199648988
"BA3395R",0.0420888227308222,0,0.036282082436829,0.0288182100149804,0,0.105951097210136,0.013141613401281,0,0,0,0.0900513037467621,0,0.381789091328202,0.0903916420055789,0,0,0,0,0.0744913198371299,0,0.0728121032732598,0.0641827140150192,0.118,0.0959441092229862,1.06769213695789
"BA3243R",0.00244037940353755,0.0187021852530543,0.014523501397324,0.0347093023937421,0,0.128828749286255,0,0.0137320920285736,0.00689081702836701,0,0.10502532268318,0,0.423654987671081,0,0.00218400901732376,0.0333535657768971,0,0,0,0.0227407811872779,0.193214306873386,0,0.003,0.351599476804808,0.948494623928032
"BA3407R",0.0176091520494425,0,0.019327084923999,0.0763101093415289,0,0.0817690580919101,0.0240120572117829,0,0.0147599992491004,0,0.042830974733768,0,0.431022359870589,0.089534647971683,0,0,0,0,0.0294941636834767,0,0.137981690644862,0.0353487022278572,0.022,0.200292457424259,1.02658050209269
"BA3108R",0.0290450571121213,0.000816055547709985,0.0870182458599336,0.100391071994143,0,0.328178454682039,0,0.00994477688596875,0,0,0.244133120051102,0,0.0650861050216395,0.0238518930707125,0,0.0274735937555654,0,0.0135627302137542,0,0.0328587384036091,0.0275527399137893,0.0100874174879132,0.011,0.255599734635467,1.00325546082192
"BA3195R",0.00533473953058034,0.0113360238577652,0.0168649947679361,0.051872167457637,0,0.20402051198307,0,0.0165994888885657,0.0276451663808231,0,0.114355629950003,0,0.394028823716693,0,0,0.0122593073966699,0,0,0.029993874816719,0.109176376135578,0.00557363519326301,0.000939259924696217,0.011,0.254457870905101,0.994875508511915
"BA3410R",0.0456677014459764,0,0.0276474762193714,0.0897358234160919,0,0.126404795190746,0,0,0,0,0.0749830218529581,0,0.129851617129618,0.113884213978265,0.00404940743877267,0,0,0,0.0339201659120897,0,0.18002347632534,0.173832301090771,0.078,0.1189220301321,1.06022463976501
"BA3206R",0.126862055277432,0,0.0362441074524275,0.0784612482406663,0,0.234099990354314,0.0118829704514729,0,0.000310962494206455,0,0.107598343162101,0,0.0708586725857353,0,0,0,0,0,0.097592247832017,0.00959376316779902,0.10007065786467,0.126424981117158,0.165,0.07688681295281,1.06296966989005
"BA3202R",0.0373129918684736,0.00541718962248773,0,0.116176099979911,0,0.184660615879474,0,0.0106246985790826,0.00407957572209046,0,0.0895265455959127,0,0.322712057919146,0.0890425705891103,0.00173857515788123,0,0,0,0,0.0152559338741087,0.096757260533609,0.0266958846787129,0.091,0.111592301905068,1.05759014518138
"BA3217R",0.0779358029669582,0.0262135365473762,0.145096530929686,0.0362252268229901,0,0.151205377734741,0.0208662924181737,0.0010884150882602,0,0,0.139073888940425,0,0.138611253899292,0,0,0.181917415884542,0,0.00315200243657341,0.00226083475494668,0,0.0763534215760352,0,0.031,0.177358116570652,1.00509714393805
"BA3371R",0.101169447345663,0,0.141738450446365,0.0874750232320856,0,0.207164995873687,0.0181920001835558,0,0,0,0.100512553470876,0,0.150355824788693,0.0296274421449639,0,0,0,0,0.00325265304048124,0.00466231401000266,0.1310768567215,0.024772438742128,0.537,0.0094835305407974,1.07507529026367
"BA3413R",0.0575675706194243,0.0571293983581131,0.0716399861848985,0.0392263932132359,0,0.149759315511441,0,0.00146059164382182,0,0,0.171925523945223,0,0.208416242332653,0.0113935261609431,0,0,0,0.00181444095282889,0.0217634679193885,0.0584533339926342,0.0916754086572179,0.0577748005081759,0.014,0.239378750171491,0.990557097942429
"BA3411R",0.00387673548019118,0,0.0301124190054613,0.0178816684837922,0,0.0933453850602339,0,0.013872832563183,0,0,0.0799187878099555,0,0.322451568211194,0.058883973294364,0.00405138080939542,0,0,0,0.0195095987020309,0.00225471741326322,0.156423620558984,0.197417312607951,0.024,0.190840895409272,1.05248761254141
"BA3133R",0.0400458219443446,0,0.0630748331747373,0.0353435467084254,0,0.075706375364371,0.00234052650556869,0,0,0,0.10634227747917,0,0.150411634061676,0.0176296092417867,0,0,0,0,0.156145634057432,0.00888716277071303,0.192828630452781,0.151243948238994,0.003,0.345332176073948,0.947020175691586
"BA3451R",0.0535618883733693,0,0,0.0187827054847246,0,0.0894816184794082,0,0,0.0176984722431485,0,0.0789560749499577,0,0.600153396083652,0.000821238755469885,0.00221744083421308,0.030798057765763,0,0,0.02317493841311,0,0.0446058587129169,0.0397483099042662,0.002,0.458506297239309,0.898974731304843
"BA3286R",0.0393551085880561,0,0.0072948706009852,0,0,0.0534534772244665,0.00235557771121394,0,0,0,0.0558509415921337,0,0.688161079203854,0,0,0.0207437976001588,0,0,0.0427808837567526,0,0.0774639385207422,0.0125403252016365,0.028,0.179548441197153,1.08855222759259
"BA3103R",0.0814019758251704,0,0.0399391553415139,0.0267985176952474,0,0.138663765721689,0.0150484713290364,0.000905551730876749,0,0,0.076666082701627,0,0.438126954768909,0,0,0.0406242857203774,0,0,0.0793132942142839,0,0.0625119449512691,0,0.058,0.140365722138805,1.04402458903748
"BA3271R",0.0678450454395385,0,0,0.021199822025479,0,0.114201346857258,0,0,0.0102078972877348,0,0.0933549200716962,0,0.477060109213699,0.0375994731157875,0.00508403066391485,0.0427558458482222,0,0,0,0.0265320527171689,0.0605166736717137,0.0436427830877882,0.003,0.348224700775769,0.954800314200956
"BA3152R",0.0417727107225163,0,0.0155480478433865,0,0,0.043222693222318,0,0.00187637444452007,0,0,0.0674555104753687,0,0.666278939213578,0.0191167128728334,0,0,0,0,0.0273019451408376,0,0.00829239453915003,0.109134671525492,0.005,0.30572658667644,1.02358588924763
"BA3095R",0.0606414569123559,0,0.275495273224171,0.0332105535201738,0,0.123552183928751,0.0183404244417509,0,0.00466925472746843,0,0.117074460886583,0,0.0497355610388995,0,0,0.0119309511418919,0,0,0,0.00573940925108647,0.29908733852843,0.000523132398438001,0.00800000000000001,0.274436646261265,0.971559580486471
"BA3192R",0.130107369112691,0,0.0835076160686794,0.0127423661556148,0,0.174619553563279,0.0182798100200432,0,0.00472008500357803,0,0.0696978795466764,0,0.128029566558057,0.0099253243851582,0,0.0151917040800922,0,0.00210837476505808,0.182557786307488,0,0.168512564433585,0,0.144,0.082920753551926,1.04382214360648
