"LINE.L2","LTR.ERVL","SINE.MIR","LTR.ERV1","LTR.ERVL.MaLR","LINE.L1","LTR.ERVK","SINE.Alu","LINE.CR1","sample"
19.1516212572164,17.9148094996996,19.1310141042096,18.0744356470508,18.2615011930678,19.8678997642709,15.5190600946015,21.5260431903954,16.4016209203055,"BA2409R"
20.3448952433858,17.9756619772757,20.1582155583605,18.7777234834529,19.1621037302243,21.2610446145655,16.35354260548,22.1410173581574,17.5266318636548,"BA3037R"
19.7934908721931,20.1694624447235,19.6988746772244,18.457877234054,18.7008121824883,20.5202192873371,15.9691978973346,22.2166419349831,16.8648229083891,"BA2496R"
19.9313578665504,17.9570605440572,19.7856467615308,18.8704942404824,18.9690794935723,20.9106505428771,16.390500358705,21.6728099771992,17.0449749316495,"BA2865R"
19.2171957027148,17.1235018386065,19.2981850832457,18.0916474759884,18.232331225576,19.9691890177799,15.6972075539458,21.2484064225451,16.5269644053357,"BA2286R"
19.8075354288829,17.9234410725139,19.6599606112453,18.7148218426355,18.8311538702497,20.741435054486,16.4328100624325,21.6198812754876,16.8435339487738,"BA2922R"
19.0462198072471,17.0623935257257,19.147534374507,18.1838616554004,18.1524407745056,19.900808735443,15.321980795172,21.0170203456916,16.4711647980502,"BA2887R"
20.5728850471185,18.2120770240679,20.4434403527708,19.2040209731813,19.3942823456445,21.4964629789135,16.7157913151615,22.3234886047323,17.5788009451004,"BA2068R"
19.9891243054663,18.3154962811552,19.8381321522062,18.7735559509473,18.9607576984802,20.9361821576521,16.453861965815,21.9136089216099,17.0818728842098,"BA2236R"
19.9412929672653,17.5839609723105,19.8720262786474,18.5090192405938,18.7099336445782,20.7445892836393,16.1432940884617,21.8055740576316,16.9703678754953,"BA2449R"
19.5959186836817,17.6014460334298,19.5490085756306,18.7556049616727,18.6774715575256,20.5706685246248,16.5970967433695,21.5070284353785,16.7458399679281,"BA2360R"
18.9092526335705,17.2925299455029,19.0033394992463,17.8887724680827,18.0362610569508,19.6922955887358,15.4484407281568,21.0179597526744,16.3486830802499,"BA2235R"
19.9036226056578,20.8079302947541,19.8248877301002,18.3681499554115,18.6648702021175,20.5235434271242,15.7925946656815,21.8424240757579,17.0368294689698,"BA2858R"
19.7492671172597,18.6680367810135,19.6928505148553,18.581182953874,18.6513676783297,20.452213676198,15.8780298579024,22.0733569290081,16.8696444079563,"BA3038R"
20.2059633075406,18.2020242167597,20.0442851372052,19.2091317060416,19.3109622754575,21.2166604232015,16.805718362602,22.042886700563,17.2270914544764,"BA2667R"
20.1256868550485,18.2215666691402,19.9592324810863,18.8160192249398,19.1181318126986,20.984212019812,16.3684084575675,22.0002988547769,17.1307559119127,"BA2239R"
20.3243405209601,18.2773337764775,20.19130771715,18.9036570220933,19.147442975496,21.1556586570718,16.2868199237113,22.0286982243813,17.2513429419147,"BA2782R"
19.3040012370928,17.2122790553771,19.3819523536647,18.088440083678,18.135938155455,19.9873210746701,15.460606733972,21.090655140935,16.4774363819784,"BA2649R"
19.6381383126411,17.4623500050813,19.6838997312944,18.3973988300901,18.5083843042552,20.3609620538121,15.9709315747636,21.4265138883462,16.8406963692265,"BA2488R"
19.3239391666278,17.6421681679624,19.31354590501,18.248483063121,18.2688074686888,20.0560873029547,15.7870426551623,21.2819198165022,16.5158328545474,"BA2861R"
20.0742921441608,18.7100841075787,19.9792749715946,18.9303201611962,18.9757291008768,20.8420848293014,16.2577514439056,22.4074212153358,17.1534592543792,"BA2909R"
20.1838264772575,17.8913191133585,20.0729011919819,18.7947396551269,19.0694928029755,21.0514482878218,16.5651574605064,22.0210662104829,17.2762125532985,"BA2106R"
19.4743245344742,17.9057855773131,19.5458077154968,18.2043148117025,18.4163414841665,20.2698295087204,15.8755663236179,21.4522782900635,16.6532046583,"BA2841R"
19.8520281971532,17.8076620891966,19.7566946037689,18.3902412187228,18.758530362583,20.6283496184439,16.0012115479201,21.7241885175046,16.9596934716392,"BA2446R"
20.1050310397865,17.8139720139421,20.0689654209902,18.5099147271308,18.8453954361798,20.8199009305649,15.9722607472443,22.2033853957794,17.2395799708051,"BA2357R"
19.4281811321683,17.6089721332496,19.3882579479073,18.2248208727056,18.4698325635476,20.1465435349948,15.6211404944431,21.5075093983322,16.6613851343531,"BA2546R"
19.6783303744322,17.6072176653436,19.6021823738681,18.3323696699709,18.5922747346568,20.4578332039065,15.9571070952911,21.987653475828,16.8380912126515,"BA2316R"
19.7430341157928,18.8933262013754,19.6731613768956,18.4783950682561,18.772981221467,20.3720610348319,16.2316812215612,21.8680658451859,16.8016639001146,"BA2329R"
19.986278558482,17.7540660893333,19.8966311533426,18.7194999908518,18.8277017895481,20.7743184670503,16.1699045330549,21.8855450731226,17.0190723504804,"BA2072R"
20.6523582833836,18.3386350661044,20.5324361531875,19.0753965561574,19.4747242985171,21.5056829096789,16.9688362409206,22.4754028972773,17.7462817888739,"BA2995R"
19.6563251718217,17.5818805446027,19.5515343683837,18.3161937080667,18.5635472517159,20.4981128517483,16.0172891199535,21.5829653409214,16.8142116918112,"BA2069R"
19.7416689236594,17.9909793465627,19.7070792525507,18.6799985586979,18.8083107473287,20.6703207713912,16.1053747478784,21.5575800013359,16.9561892399698,"BA2681R"
20.9888919834396,18.7687160868647,20.7161237243183,19.6448794230637,19.8889553612297,22.0469967846834,17.5548029477617,22.4878943639914,17.9325629459247,"BA2413R"
