"","HSC.like","HSC.Prog","Progenitor.like","Exhausted.T.cells","Cytotoxicity","Apoptosis","Proliferation","SASP","Cellular_senescence","T.cell.senescence","IFNA1","IFNB1","CXCL10","CXCL11","IL10"
"LINE.L2",0.167400228402111,0.132228360957643,0.0738212464485866,0.00540140683499451,-0.0142617570501147,-0.0722182783419241,-0.0915419200181076,0.17901169789191,0.0610265748942869,-0.0737749866508478,0.0864208467344311,0.165644700690694,-0.179436429690486,-0.0991568753588417,0.1854777310339
"LTR.ERVL",0.00199183102359126,0.0410259575912837,-0.160217990379349,0.238602259948746,0.157969896190212,0.0462401102914699,0.135339568093665,0.460724096422729,0.0371410640246098,0.140743171850205,-0.058602424230957,0.120541316142014,0.0835046344312222,0.127666989559687,0.307487797737114
"SINE.MIR",0.136432194409292,0.0811918063314711,0.0670525155367618,0.0154192160449643,0.0148440795497803,-0.00792205520746525,-0.114643456073747,0.167871436361205,0.0742492052223834,-0.0701925678700001,0.128611852243394,0.185423363733119,-0.159816005017793,-0.0758332586454925,0.174780436574117
"LTR.ERV1",0.306914822473945,0.331384713519965,0.244796776030556,-0.0785745224385144,-0.0615883206271799,-0.217519059230223,-0.200489727049189,0.0561087276356266,-0.171132853894668,-0.134251195254241,0.00259488182100772,0.181449685480915,-0.163462032743344,-0.102313556861774,0.00830102642122973
"LTR.ERVL.MaLR",0.24044980812165,0.233908453964629,0.142500356235477,0.00824923428628304,-0.00852495447390352,-0.135963044126876,-0.165019496486517,0.125501815899668,-0.0622364887805179,-0.0523494062053696,0.043722146956141,0.151234776061059,-0.107098334025832,-0.0555048963044404,0.130389288217157
"LINE.L1",0.288144695823945,0.283761844501373,0.238734857420969,-0.0593115624058283,-0.0510221508894307,-0.125927754971861,-0.150241262590409,0.117867835427019,-0.0566869347819377,-0.131251099572175,0.0747680544574834,0.203933013398228,-0.180068284340073,-0.0934933867369532,0.110948547732633
"LTR.ERVK",0.361428850684692,0.403586530448471,0.33081799377454,-0.0641038963177148,-0.0696379517886355,-0.24110414930502,-0.275074333569966,-0.01948414045701,-0.240892208607262,-0.108399547722258,-0.0131476698477457,0.143545922281659,-0.17110500421319,-0.124914396616022,-0.00953259913146919
"SINE.Alu",-0.0505900387872054,-0.125186991368046,-0.230049399698272,0.108408807276833,-0.0219204296428902,0.0105744004444582,-0.0381308065063737,0.253476959165406,0.217554039733737,0.0861426650438896,0.0549639486341092,0.0390894575164458,0.0122738280221971,0.0142764071402809,0.219285790921752
"LINE.CR1",0.223864934102904,0.162817782441845,0.10344974816598,-0.00172227715081539,-0.0216735084416186,-0.0298424848503555,-0.105918906962149,0.195740609278064,0.0243114499418706,-0.0816229735722456,0.122152852928059,0.203469417602137,-0.144777041094225,-0.0605133032155588,0.174590093256328
