"sample","HSC.like","Progenitor.like","GMP.like","Promono.like","Monocyte.like","cDC.like","HSC.Prog","GMP","Myeloid","Myeloid.like","Exhausted.T.cells","Cytotoxicity","Stroma","Cytolytic_score","Apoptosis","MHC2","Proliferation","SASP","Cellular_senescence","T.cell.senescence"
"BA3379R",-0.0349182287029684,0.390789422307257,0.213904481242399,0.227806927530059,0.227572201321429,0.229406785882393,0.173064691136304,0.348880488393176,0.384676287270481,0.380156100847886,0.055022715800101,0.136862173376696,-0.176470588235294,0.12494112369631,0.262274307502523,0.240508103864057,0.17793256776878,-0.319072121586002,0.143133516514327,0.0316641432550141
"BA3124R",-0.0552968871564122,0.324637355772047,0.216051548320704,0.235772231795388,0.292739626031782,0.0958785502377261,0.246802324027602,0.31727882160175,0.366047129728414,0.375080015722387,0.131493633967132,0.437209823931816,-0.17394717658274,0.455377369070315,0.290501289671414,0.0978702820929841,0.0584320884410631,-0.254423475968818,0.139983924933176,0.136030580010841
"BA3395R",-0.0279542337399841,0.332602838679448,0.287433342688745,0.361654630292939,0.342152844067606,0.156337851784997,0.233151067139169,0.396536666916186,0.434578022348251,0.421593950624216,0.0515508441303495,0.094639452730739,-0.153974840651227,0.0917797465515308,0.243344174049568,0.0539019123997533,0.367511779223693,-0.131316246985587,0.11193667171349,0.0151965457298268
"BA3243R",0.0656857319313104,0.332063509107593,0.183033960145944,0.301330132238765,0.3092574915305,0.221171659419007,0.290391204186243,0.314773228202377,0.4006401257791,0.420296853650776,0.0626451287228672,0.0876415834922059,-0.196480308043141,0.0713356510037009,0.272614107883817,0.21784392350401,0.00139209007281704,-0.220073187145982,0.143759696442924,-0.00468233051085065
"BA3407R",-0.0455797781467311,0.315461431834599,0.276548320703527,0.311802745454898,0.387624234937391,0.137501133571419,0.202371598544008,0.388803636333392,0.432150410840961,0.420109682370337,0.12455549946716,0.367085342604015,-0.159451578534178,0.333396882359538,0.273556128742851,0.130762436206606,0.319002794378608,0.0121978576636196,0.179694947569113,0.073225667769491
"BA3108R",0.0198452802040473,0.386723707073271,0.227453456824773,0.168043911789193,0.130770958504127,0.0667533219040546,0.311557600927901,0.333524631750547,0.253568420461564,0.267568832238381,0.0365135453474676,0.380924077604575,-0.164918970448046,0.361018279690479,0.252125154199843,0.077246088273232,0.189181471434108,-0.184271773876956,0.0106544047552291,0.0202714069421859
"BA3195R",0.151226769973612,0.382396868471916,0.21826410328375,0.178212550097775,0.240013476332192,0.102574178754496,0.343537033176723,0.325203150601758,0.344664682651094,0.369002564246542,0.0303886925795053,0.103745654368061,-0.220789173629414,0.0795446899181339,0.29086015476057,0.178116762940946,-0.0257205213453811,-0.167727553137794,0.182928652872016,-0.0144955980485617
"BA3410R",0.067133472893958,0.351689248550399,0.300016371971185,0.354533485643478,0.389874033728265,0.143389227400904,0.295335375142312,0.405970589947684,0.410863421116664,0.401854867389148,0.0811935610522183,0.37889424694404,-0.164862894633545,0.368240439609734,0.30409330492318,0.155459592843924,0.226089705672385,-0.177128315854411,0.121946204601955,0.0227480887493224
"BA3206R",-0.008596212613393,0.34895111380098,0.391806997848255,0.310852097814091,0.236650008422708,0.108807741968916,0.235807556831241,0.431918556778202,0.324350983585079,0.345877552548337,0.0909136799596163,0.181260513625659,-0.204704760836651,0.183413704160592,0.22549063586408,0.17909118950143,0.167086503355294,-0.249109696595816,0.0450475709826352,0.0528701471055534
"BA3202R",-0.0568769700907144,0.317496729856895,0.280667040883151,0.323576448721176,0.365126247028656,0.178186631198476,0.209290765357664,0.389142567224759,0.417371366537518,0.413886237295749,0.0631274889225419,0.382673544914209,-0.186723116319931,0.382707188516317,0.350252327015812,0.179736133699736,0.328854508740082,-0.088981268577197,0.178863156320679,0.0221406007588927
"BA3217R",0.00315816068721575,0.368003357997696,0.225028066236318,0.215785397587562,0.0826024294832202,0.184094157680864,0.288271891987236,0.329584300222072,0.26503827652685,0.316085499840904,0.0538280329799765,0.111595828193339,-0.109787098824277,0.0892564763934058,0.243938544353482,0.231142392462565,0.149866400146858,-0.286439347204307,0.187816594702705,0.0334585693190527
"BA3371R",-0.0406309904793987,0.358039183147537,0.331057629338572,0.349718290770393,0.247865311546596,0.0764933993755641,0.252259619753166,0.459057980055061,0.311634566792071,0.375306492971718,0.072067979135117,0.135550072894471,-0.139367090973663,0.172221599192554,0.311685544465627,0.0404562279176715,0.373151528749465,-0.105777858785262,0.142432568833062,0.00806557131909014
"BA3413R",-0.0493234517994498,0.378719177681029,0.294955094021892,0.245966040000774,0.199784753027496,0.160749063993885,0.270996691414247,0.376949372458018,0.317391955378367,0.309903232448013,0.0608615177519771,0.0693282494112369,-0.179423914465691,0.0747112257485701,0.307143658181003,0.223403062082889,0.148907744712097,-0.204244013235377,0.151713116133012,0.0201966391895175
"BA3411R",-0.0444749232015528,0.325703812889245,0.316781270464964,0.363567542449999,0.345710970108747,0.148590700827831,0.225470230745795,0.404203158919081,0.397055795758699,0.400902165571715,0.0587133322115654,0.0426040148031849,-0.198181274416344,0.0441404059661321,0.264135920152518,0.152711569738097,0.256460725722561,-0.136987549772867,0.203386979195873,0.0229817379764108
"BA3133R",0.0602476800051333,0.380888697994963,0.259792777621854,0.295895370675134,0.304370449398244,0.123656447970152,0.339517555815681,0.390652161256248,0.378089729911842,0.364970894865892,0.0183128610690448,0.0777952226085006,-0.165161965644218,0.0709319277784008,0.259594033867893,0.207202344231956,0.23982703408326,-0.169613313891537,0.0756369277930429,-0.00457952485093177
"BA3451R",-0.0537268301290535,0.280121922648914,0.177867433810459,0.396863443629112,0.408946787204971,0.162269129287599,0.198859900902779,0.277729953173474,0.446854586632227,0.450536245718457,0.113119075663245,0.180430638106987,-0.15271313482495,0.17410564091062,0.303655938095772,0.145757388817228,0.110678809635507,-0.242653244349728,0.196826108899232,0.0995999925232247
"BA3286R",-0.0449922599998396,0.362209835809531,0.237470764337169,0.354078491355108,0.336631291294664,0.225401500200804,0.263657938200536,0.380178572913808,0.421477904430344,0.432988938177326,0.0532951932245219,-0.0087697656162386,-0.23923811660031,-0.0159582819333857,0.246495458113715,0.229880545118053,0.301568523466661,-0.243781896696764,0.142825099534571,0.0073085478233238
"BA3103R",0.0388163013226177,0.361472833408172,0.271089437739732,0.279027667525025,0.337892825724821,0.21914418596617,0.245669173494968,0.371620048074124,0.415359275272802,0.415529601138001,0.0678333052891357,0.0723898172030952,-0.161872184526814,0.07652798026242,0.222159919255355,0.231759295608771,0.174317212964285,-0.230714766418036,0.187741826950036,0.0499542047514907
