"LINE.L2","LTR.ERVL","SINE.MIR","LTR.ERV1","LTR.ERVL.MaLR","LINE.L1","LTR.ERVK","SINE.Alu","LINE.CR1","sample"
20.1435485982844,18.0840003038712,20.1173358461582,19.2783334617961,19.2279361760893,21.3146439535365,16.7315667257961,21.8853585578488,17.3446355156456,"BA3379R"
20.9054562749483,18.7783440412618,20.7660197571361,19.6850496406827,19.8303322743228,21.9280463368143,17.1220436225849,22.563485631335,17.8913576353336,"BA3124R"
19.7382716517972,19.9651325746565,19.7126421757158,18.7548970167459,18.6345933689224,20.4612302180873,15.8496510808976,22.0571997477045,16.9736725232517,"BA3395R"
19.7325383958877,17.6244974372541,19.7316719076974,18.5660438758641,18.713816396668,20.8686077964303,16.3413138790061,21.5312164358521,17.0599808993186,"BA3243R"
20.3325015098237,21.0689209540998,20.1764358122278,18.6249121190548,19.1036340858894,21.0423598602573,16.3501755274119,22.098359730503,17.4182079498038,"BA3407R"
20.3754562724343,18.3788465805045,20.2680991956629,19.5485722144589,19.4756263762936,21.5272057581132,17.135305468721,22.2054474460494,17.5311308814326,"BA3108R"
20.8098564248628,18.6073491155112,20.6947742908162,19.6773780915396,19.8487800849279,21.9002144485601,17.4663231362127,22.5457295488561,17.8969214491134,"BA3195R"
20.4395519312542,19.4173310183855,20.4035437763861,19.082108524755,19.3862683764774,21.3397789088828,16.5333081704749,22.2854590357216,17.6697531290599,"BA3410R"
20.6670657123111,18.6046877918627,20.5157050971822,19.647861360002,19.6267078435164,21.7077234783719,17.0989956353245,22.5426398004205,17.6218764074392,"BA3206R"
20.1326946691458,19.4510535373168,20.1537592845151,18.5880067786913,18.8901492963142,20.9324128751592,16.1434940114575,21.9481332579382,17.3198422803259,"BA3202R"
20.7044509434449,18.4363343996769,20.5047496248689,19.4281950122732,19.5958713454628,21.7230821255722,16.9303554576956,22.3857618836109,17.7308417447342,"BA3217R"
20.3447679169561,19.5386090213005,20.2909080651867,18.9448710248433,19.1073656260133,21.1954198323491,16.877800742439,22.2101046836251,17.5278304255698,"BA3371R"
19.9451078020475,17.8181525129108,19.945289634271,19.0081234739926,18.9493366814445,20.958274047577,16.4653714116813,21.7892841059344,17.1198824088433,"BA3413R"
20.3047943714477,18.2745638169246,20.2236188472289,19.3496490157974,19.3162205512902,21.2144502286358,16.4645921075153,22.4904339370882,17.4749062319177,"BA3411R"
19.5771691729483,18.0394759058443,19.6108512853035,18.6988678216529,18.6954394797593,20.6188707428817,16.1181033429624,21.4975485920033,17.020937678742,"BA3133R"
19.7918570820731,17.8722286542186,19.8256131895215,18.5757776506789,18.7743380997326,20.5202572482378,15.9242038623892,22.5820345658155,17.0318582506656,"BA3451R"
20.408150744132,18.2506248820956,20.2459323293545,19.160064583253,19.2671518952029,21.3333410907894,16.6815743193212,22.2097968950525,17.4433028048519,"BA3286R"
20.4932917579308,18.0756636375064,20.4085267695458,18.8542571932566,19.2356600179899,21.3858526768461,16.6749270272745,22.316434235523,17.5774590219334,"BA3103R"
19.9028892835328,17.8637009903309,19.8426645801815,18.7556443836751,18.8677884816364,20.7914459918885,16.4398963750536,21.7906465966605,17.1089047167434,"BA3271R"
20.4774315719007,18.789725897638,20.3749622008844,19.1469701663299,19.456927320415,21.4575477059404,16.4585807174503,22.4102399071537,17.5614479653041,"BA3152R"
20.7531777055147,18.5570532146865,20.6488353722616,19.4903576039296,19.7546811768262,21.8365748087833,17.1345810904407,22.4724281325389,17.8682145206638,"BA3095R"
20.6922280403414,18.3694826799771,20.4921729681886,19.1765032148274,19.5287043275612,21.8552899554221,16.8148422864684,22.407687596967,17.7526397224997,"BA3192R"
20.9681040835821,18.6683973177268,20.7689360769207,19.4020179591273,19.769253919877,21.972774195413,17.0614993767549,22.7624021179881,17.9516782831197,"BA3251R"
19.4274560789505,17.3606018332263,19.5239681501344,18.4141727552277,18.4003000931081,20.1981998940539,15.6720917307052,21.997902316754,16.8757237139806,"BA3362R"
20.3563111920264,18.8790741605119,20.3842101186499,18.9078072513105,19.0843105168057,21.109417158251,16.3598986577826,22.6964276311327,17.4220921267711,"BA3187R"
20.4408711612748,18.290188889612,20.3664118050395,19.4083888248569,19.4795945360674,21.5224193129108,17.1565817123373,22.151187498695,17.5814341597283,"BA3435R"
20.6418525803453,18.6208190768602,20.5665499073784,19.529986194067,19.6512703740632,21.6963840790834,16.9724943168284,22.5117636755363,17.7010470435295,"BA3261R"
19.9969087597907,17.8940655792819,19.9820169833717,19.0763617951474,19.0681008691412,21.0168541188641,16.4184249453615,21.8988115856388,17.2419546876023,"BA3317R"
20.564097564166,18.1351376297447,20.5726399242022,18.8426752535372,19.2672245861855,21.4356044818771,16.4436098792755,22.7712640314907,17.7049388087154,"BA3299R"
20.6203474065364,18.3051301769351,20.6348533775667,18.9331439388497,19.3246989432596,21.3220992079247,16.6022763755789,23.4780406879937,17.6780527434083,"BA3347R"
20.159225895404,17.8497093552778,20.1791832567842,18.7774363122132,19.0091279527326,20.9423415288797,16.6177049851394,22.7647660879376,17.3764705804764,"BA3126R"
19.6939288761268,17.8279792852185,19.7277299876502,18.7587900163445,18.8217457731211,20.7636369508139,16.3784546470407,21.6376426234143,17.0068874761152,"BA3089R"
20.0696171499642,17.7843996729164,20.0497863347833,18.8319633149247,18.9883749275272,21.0311948685771,16.5525457969546,21.9334131387599,17.2781922119306,"BA3423R"
20.2456311365053,18.4057537330768,20.251900096442,18.7891468604714,19.1045681052855,21.2228584901462,16.4491948194023,22.1538490634923,17.3987326979383,"BA3277R"
20.2044799267793,18.275810470813,20.2137099648494,18.5310903178679,19.0247477813424,20.9754316266579,16.3557646889618,22.0821277335245,17.4639757248557,"BA3210R"
19.1984317709612,17.148834301871,19.2914064826062,18.3744598873491,18.2420791338277,20.1055392609387,15.6860627667724,21.1462786141518,16.5861139989903,"BA3157R"
20.4405972766421,17.9906382590319,20.4157818410691,18.989278616038,19.2399672228871,21.3581959955079,16.7065740770773,22.2889668141072,17.5870061233914,"BA3433R"
20.3192307330987,18.8086344899595,20.3078708653426,19.1087994097557,19.3025836025794,21.2137896873174,16.6201387821973,22.062246249219,17.4779613408617,"BA3322R"
19.5842585123119,17.6443596358714,19.593639687236,18.6242080287011,18.6387227904768,20.5961755066228,16.0477784260564,21.7646028591335,16.8796283434396,"BA3374R"
21.0019175024899,18.7759022091491,20.7993184718065,19.332629119697,19.7383603716592,22.0508255406475,16.9472725878929,22.681914378796,18.0569945493861,"BA3450R"
19.4468891252669,17.2410916064262,19.4951603610037,18.1951845175314,18.3487004145071,20.2325326988915,15.5238138186588,21.4018817741535,16.8543042072599,"BA3167R"
21.6973947249541,19.1755179146015,21.4834831881886,20.0794631696233,20.4659600695677,22.7771981709932,17.6222656475702,23.3152508478559,18.6687024091344,"BA3269R"
21.2795072327028,18.7522200025525,21.1475466397075,20.2959619689573,20.0609425427779,22.2976991943347,17.2901423894367,22.9818644143259,18.3385964572884,"BA3110R"
